Dog_Number,Total_Complains,hash_binary
2402,1,5F53ADE87364AC886193F31F7E2E5D5E8FF8A01D641324664629D1DE040D5522
8076,5,52EFF447CAE46F2F268D12FC83C02046D99665625BE64E7975FD0D1C56DB7B5F
8065,2,E27B444E3755E8059235EFD8316E319AF12E78C1BCAF72E06AB41E12D9BD506B
7973,1,FB7200C46F1118F7F7675D805873D8EB798D77576FE4B4E2F8729D35F10A2288
8079,3,B55E805EAC7637B781686C67352FFBA56D564A0F0FEC89E285AC5467DC16ABD3
5483,1,D01F713C7FDCE369705ECE801C3D422A940FC57E15D6DE410915CF2959307AC9
6032,4,2D5FD346081DFBD4F3D17FFD91155A87934AC3BA698BCFC2F7ACA9228E3BC304
1556,1,0F046F4EB0A1A484C8EC72E952C2AA42845571AFEC1BCA9133DF7EA70D6529F4
2001,1,A6CB60F545868BBBF98D5E29C23557D2FDFE5799DFDD1B1E86F279B414B81E09
7212,1,B5306847DA5A03C56327F49526F9CE4C8CE5AC183A877B4A5A094A6981483133
6083,2,9875BCB010A768DCB38FFAEE3DAB699412D038F0BE125295FA71D4DF1216E845
3665,1,ACD1272E2830E373D4A3CF23934DA57A9E094ADB271113C33E255076EB1DFF0F
7243,4,7742B075FA19563E0BC40B18D3DA97B2C7FAC13C040D0557B74AB2BC2085024B
5439,12,E845EE52B55DA7B641AD7073467CDB82970A19360F11304055266F23924E344C
2177,1,AF17EDB3F4196CBEA8D3ABADD54B7F54FCA87BD7AEECC04A20E79A6D0F534674
7514,2,FEEE739957452286587EA72C552B8D82D7853D119986B786CA9B0F612CED2A3C
2237,1,0B05EC05E5BABBB578119C8940E95DA4D8F9829DE42D326CBDE5510A6A251C9A
5656,1,D87E3EB02B188EB234EF698B9CB5F416B3452D2DF2EC8FF3DBC252BF06BB670A
5178,1,5EC2A960FB75079843B71788C6033187CCB652F7AF8260A7E9984DE66C26FA9B
5816,1,DF50D0944248A88A0BFA03DEBF4DE140335F8C027CC90396019ED14A161AD8CF
2343,1,6F91DBC4C4C219243FE4F7C52AE2761F02EC92B6FC732E1AFAA98F182BCC3900
4991,1,C922D9FF4A65958AD61DDF1B33174B27028BA48FC44BD00A44A16916C78FCFBF
2513,1,3503F8E929CD65E9D708FAAA47DD6A2712AA95154FEC15EE99F9680EBEBA78BC
5388,2,2F658EDF0B93693E06ECE332CBBCCB3509397A75CDB8201BB8B0A5EEE511945A
5197,1,609C101EE615B8478B519713DF0B8A2A517B974EC37C5E399BCBDE855798FAB9
2649,1,5F6C23BC71FDE61C5E6FCCD24994274439085AC11F10A7471E528E0ED5CFA26B
7174,1,6D3D30E8ACDF0B693EC3104553595DDA823B4717E0BE3CB8667A7F3EFFA2FA2F
2720,1,76B22113527F308334DFC3C342A03D0F93268811FDEF0E8172BE59F76FC2F813
7704,1,9198B70DEB9E4E09533A787FB6A231E053BD9791103353112AD871D0F4A25B2E
2747,1,C33C028B86784EC81A1DE5E36DEE55B068ECB331B7AAA63DE5602213CC2C1BA1
2854,1,8AF62BD0BD958C2E9FA88D2CD23281230E2E4BC9CB933558437572FC4347E76D
2906,1,FBB27D217A0EBA90236C45CA93439FD102C01DC1D6DA3D4984BC2E3086382F8D
3062,1,7D2DA11243C908100135378539B853938CA6489ADE9685604614D279AD72A75D
3081,1,92594FEE80B3587D767C68869B4CAE45452EB2A06E51C8C2E8CF878AE3F5E59A
4108,2,A357D32F2077F15A1C1B459BB3C24FFD00FB0AE577B0D5974943B1FB217E9B4A
5444,1,1A86B4F554F83161C390816BA06F1BABC6F6B5A081ECCA82F4ADC18C246F6F14
3213,1,5430B9D81B9A9E358475E3C06CC833943AD6BBAEFFCD2FF5B86F490228C4D361
3245,1,C4CC3A6FB1E6F185F8ABBFF0DA402A251F1CF94179490FC4679CE53D30D0FD96
6742,1,DF254CC34E22B012A106B7535B2243F03299994028DCA4A21258DA377203EADD
6312,1,D1740EC5D104C65E92E570FD7BC038B2B25B203B0A4DFE681689A5D9EA763B66
8172,1,19929178D98EF8D67DCBD6CD152766B4FFFB642E4EC00F7C4823538843319EED
5450,4,5EC6030B5C8A712DB341FD6FC348EB017A14F7480929FC594AE7FDBF249B4058
6855,2,998CB7486593B4A471C2E62BA70189BCE91A402BE17A46F93069E47B357F9646
604,1,639FF382AB2867BAF1AE4CE7FC12BD0B706EA82D3358B2585D3C9910898D188A
8187,1,C079453D1110D723EEB677921F95A88327F2AB2709E30181E18626E92FC16EB6
6362,1,140A12ABB3B95853B5928C160657A1E302130D4DF7B7C6903564B5743935029A
6555,10,BF7F52F41A9BD584A4BCEFA0B81F34DD51C319B37FD3691B03FAC9B3AB83DF25
971,8,359DC457D616C6FB6588BC17A0EB5591F66C044CB6AF0084B087138861414FFB
5587,1,D7765C5E3DDDE970C80700457895C4CA32F796955DCC09A419FC68E4C64EB519
5860,2,3A9FD2DFE812C3B800D0D2856FB5A21D2C0A777915373AC1AD9B7D5E4745D398
978,2,9BE725EE69301FC21AB60F2D855E428F27FF96EB6468498E667F5BD14114C145
