Dog_Number,Primary_Colour_Code,Secondary_Colour_Code,Age,Animal_Sex,Desexed,Worker,Classification,Microchip_Flag,Total_Complains
151010,DARK,DARK,0,F,Y,N,0,Y,0
173567,DARK,LIGHT,0,M,N,N,0,Y,0
192345,LIGHT,LIGHT,0,F,N,N,0,N,0
193685,LIGHT,LIGHT,0,M,N,N,0,Y,0
218377,LIGHT,DARK,0,M,Y,N,0,Y,0
222071,DARK,LIGHT,0,F,Y,N,0,Y,0
223603,LIGHT,LIGHT,0,F,N,N,0,Y,0
234035,DARK,DARK,0,M,N,N,0,Y,0
234169,LIGHT,LIGHT,0,M,N,N,0,Y,0
234737,DARK,LIGHT,0,F,N,N,0,Y,0
235290,DARK,LIGHT,0,F,N,N,0,Y,0
235610,DARK,LIGHT,0,M,Y,N,0,Y,0
235789,LIGHT,LIGHT,0,F,N,N,0,Y,0
236387,LIGHT,LIGHT,0,M,N,N,0,Y,0
237924,LIGHT,LIGHT,0,F,N,N,0,N,0
41157,LIGHT,LIGHT,0,F,N,N,0,N,0
93545,DARK,DARK,0,M,N,N,0,N,0
100576,DARK,LIGHT,0,F,N,N,0,N,0
101167,DARK,DARK,0,F,N,N,0,Y,0
124353,DARK,LIGHT,0,M,N,N,0,Y,0
149104,DARK,LIGHT,0,F,N,N,0,Y,0
151093,DARK,DARK,0,M,N,N,0,Y,0
193746,DARK,DARK,0,M,N,N,0,Y,0
220363,LIGHT,DARK,0,M,N,N,0,Y,0
221970,LIGHT,LIGHT,0,F,N,N,0,Y,0
223779,DARK,LIGHT,0,F,N,N,0,N,0
226851,DARK,LIGHT,0,F,Y,N,0,Y,0
226976,DARK,LIGHT,0,M,Y,N,0,Y,0
234603,DARK,DARK,0,M,N,N,0,N,0
235045,DARK,LIGHT,0,F,Y,N,0,Y,0
235230,DARK,DARK,0,M,Y,N,0,Y,0
235734,LIGHT,LIGHT,0,M,N,N,0,Y,0
236175,DARK,LIGHT,0,M,Y,N,0,Y,0
236414,LIGHT,LIGHT,0,M,N,N,0,Y,0
40866,DARK,DARK,0,M,N,N,0,N,0
41983,DARK,DARK,0,M,N,N,0,N,0
44603,DARK,DARK,0,F,N,N,0,N,0
139131,LIGHT,LIGHT,0,F,N,N,0,Y,0
180774,LIGHT,LIGHT,0,F,N,N,0,Y,0
199354,LIGHT,LIGHT,0,M,N,N,0,N,0
223413,DARK,DARK,0,M,N,N,0,Y,0
223497,DARK,DARK,0,M,N,N,0,Y,0
227018,DARK,DARK,0,F,N,N,0,Y,0
235220,DARK,DARK,0,M,N,N,0,Y,0
235513,DARK,LIGHT,0,F,N,N,0,Y,0
235764,LIGHT,LIGHT,0,M,N,N,0,Y,0
236105,DARK,DARK,0,M,Y,N,0,Y,0
236192,LIGHT,LIGHT,0,M,N,N,0,Y,0
236942,DARK,DARK,0,F,N,N,0,Y,0
237946,LIGHT,DARK,0,F,Y,N,0,Y,0
82335,LIGHT,DARK,0,F,N,N,0,N,0
114998,DARK,LIGHT,0,M,N,N,0,N,0
141922,DARK,LIGHT,0,M,N,N,0,N,0
149106,LIGHT,LIGHT,0,F,N,N,0,Y,0
18637,DARK,DARK,0,M,N,N,0,N,0
189331,DARK,DARK,0,M,N,N,0,Y,0
222122,DARK,DARK,0,F,N,N,0,Y,0
232677,DARK,DARK,0,F,N,N,0,N,0
233677,LIGHT,LIGHT,0,M,N,N,0,N,0
235143,DARK,DARK,0,M,Y,N,0,Y,0
235554,LIGHT,LIGHT,0,M,N,N,0,Y,0
12860,DARK,DARK,0,M,N,N,0,N,0
214485,DARK,LIGHT,0,F,Y,N,0,Y,0
226965,DARK,DARK,0,M,Y,N,0,Y,0
226990,DARK,DARK,0,M,N,N,0,N,0
227206,LIGHT,DARK,0,M,N,N,0,N,0
234268,DARK,LIGHT,0,F,Y,N,0,Y,0
234945,DARK,LIGHT,0,F,N,N,0,Y,0
235511,DARK,LIGHT,0,F,N,N,0,Y,0
235882,DARK,DARK,0,F,N,N,0,Y,0
236124,DARK,DARK,0,M,N,N,0,Y,0
236186,LIGHT,LIGHT,0,M,N,N,0,Y,0
236608,LIGHT,LIGHT,0,F,Y,N,0,Y,0
236844,LIGHT,LIGHT,0,F,Y,N,0,Y,0
237734,DARK,DARK,0,F,Y,N,0,Y,0
83513,DARK,LIGHT,0,M,N,N,0,N,0
91434,DARK,DARK,0,F,N,N,0,N,0
224251,LIGHT,LIGHT,0,M,N,N,0,N,0
226598,DARK,LIGHT,0,F,N,N,0,Y,0
227757,DARK,DARK,0,F,N,N,0,Y,0
228771,DARK,LIGHT,0,M,N,N,0,Y,0
228779,LIGHT,LIGHT,0,F,Y,N,0,Y,0
230939,DARK,LIGHT,0,F,N,N,0,N,0
234094,DARK,DARK,0,M,N,N,0,Y,0
234359,DARK,LIGHT,0,M,Y,N,0,Y,0
234607,LIGHT,LIGHT,0,F,N,N,0,Y,0
234726,DARK,DARK,0,M,N,N,0,Y,0
235492,DARK,LIGHT,0,M,Y,N,0,Y,0
235619,LIGHT,DARK,0,M,N,N,0,Y,0
236263,DARK,DARK,0,M,N,N,0,Y,0
236905,LIGHT,LIGHT,0,M,N,N,0,Y,0
96013,DARK,DARK,0,F,N,N,0,N,0
138711,DARK,LIGHT,0,M,N,N,0,N,0
148527,LIGHT,DARK,0,F,Y,N,0,N,0
203910,LIGHT,LIGHT,0,F,Y,N,0,N,0
205694,DARK,LIGHT,0,F,Y,N,0,Y,0
227011,DARK,LIGHT,0,M,N,N,0,N,0
229854,LIGHT,LIGHT,0,F,N,N,0,Y,0
234446,LIGHT,LIGHT,0,F,N,N,0,Y,0
234936,LIGHT,LIGHT,0,F,N,N,0,Y,0
235601,DARK,LIGHT,0,M,Y,N,0,Y,0
236053,DARK,LIGHT,0,F,N,N,0,Y,0
236195,LIGHT,LIGHT,0,M,N,N,0,Y,0
236944,DARK,DARK,0,M,N,N,0,Y,0
237624,LIGHT,LIGHT,0,F,Y,N,0,Y,0
237727,LIGHT,LIGHT,0,M,Y,N,0,Y,0
27398,DARK,DARK,0,F,N,N,0,N,0
44387,DARK,LIGHT,0,F,N,N,0,N,0
96662,LIGHT,DARK,0,M,Y,N,0,N,0
100192,DARK,LIGHT,0,F,N,N,0,N,0
149343,DARK,LIGHT,0,M,N,N,0,N,0
157477,LIGHT,DARK,0,M,Y,N,0,Y,0
184503,DARK,LIGHT,0,M,N,N,0,Y,0
189308,LIGHT,LIGHT,0,M,N,N,0,Y,0
189465,DARK,DARK,0,M,N,N,0,Y,0
206453,LIGHT,LIGHT,0,M,N,N,0,Y,0
210652,DARK,LIGHT,0,M,N,N,0,Y,0
222477,DARK,DARK,0,M,Y,N,0,Y,0
225580,LIGHT,LIGHT,0,M,N,N,0,N,0
226750,DARK,DARK,0,F,N,N,0,N,0
231317,LIGHT,LIGHT,0,F,N,N,0,Y,0
234668,DARK,DARK,0,M,N,N,0,Y,0
235845,DARK,LIGHT,0,F,Y,N,0,Y,0
237252,LIGHT,DARK,0,M,Y,N,0,Y,0
147183,DARK,LIGHT,0,F,Y,N,0,Y,0
18059,LIGHT,LIGHT,0,F,N,N,0,N,0
221233,DARK,LIGHT,0,M,N,N,0,N,0
222710,LIGHT,LIGHT,0,M,N,N,0,Y,0
224265,DARK,DARK,0,F,Y,N,0,Y,0
229214,DARK,DARK,0,M,N,N,0,Y,0
233685,LIGHT,LIGHT,0,M,N,N,0,Y,0
235427,DARK,DARK,0,F,N,N,0,Y,0
235488,DARK,LIGHT,0,F,Y,N,0,Y,0
236225,LIGHT,LIGHT,0,F,N,N,0,Y,0
236292,DARK,DARK,0,M,N,N,0,Y,0
238386,LIGHT,LIGHT,0,F,N,N,0,Y,0
27358,DARK,DARK,0,F,N,N,0,N,0
96562,DARK,LIGHT,0,F,N,N,0,N,0
12778,LIGHT,LIGHT,0,M,N,N,0,N,0
190364,LIGHT,LIGHT,0,F,N,N,0,Y,0
214602,DARK,LIGHT,0,M,Y,N,0,Y,0
226665,DARK,DARK,0,M,N,N,0,Y,0
226804,DARK,DARK,0,M,N,N,0,Y,0
227231,DARK,DARK,0,M,N,N,0,Y,0
22821,DARK,DARK,0,M,N,N,0,N,0
228919,LIGHT,LIGHT,0,F,N,N,0,Y,0
231263,DARK,DARK,0,M,Y,N,0,Y,0
235771,LIGHT,DARK,0,M,N,N,0,Y,0
235776,LIGHT,LIGHT,0,M,N,N,0,Y,0
235944,LIGHT,DARK,0,F,N,N,0,Y,0
236006,LIGHT,DARK,0,M,N,N,0,Y,0
236476,DARK,DARK,0,F,N,N,0,N,0
236792,LIGHT,LIGHT,0,F,Y,N,0,Y,0
237143,DARK,DARK,0,F,N,N,0,Y,0
78779,DARK,LIGHT,0,F,N,N,0,N,0
101127,DARK,LIGHT,0,M,Y,N,0,Y,0
116230,DARK,DARK,0,M,N,N,0,N,0
130272,DARK,LIGHT,0,M,N,N,0,N,0
150971,LIGHT,LIGHT,0,F,N,N,0,N,0
163549,DARK,LIGHT,0,M,N,N,0,Y,0
168386,LIGHT,DARK,0,M,N,N,0,N,0
18514,DARK,DARK,0,M,N,N,0,N,0
18695,DARK,DARK,0,M,N,N,0,N,0
209069,DARK,DARK,0,M,N,N,0,Y,0
221573,LIGHT,LIGHT,0,M,N,N,0,Y,0
222140,LIGHT,LIGHT,0,F,Y,N,0,Y,0
225008,LIGHT,LIGHT,0,M,Y,N,0,Y,0
230028,LIGHT,LIGHT,0,F,Y,N,0,Y,0
231150,LIGHT,DARK,0,F,N,N,0,Y,0
235635,LIGHT,LIGHT,0,F,N,N,0,Y,0
235937,LIGHT,LIGHT,0,F,N,N,0,Y,0
236264,DARK,DARK,0,F,N,N,0,Y,0
236485,DARK,LIGHT,0,F,N,N,0,Y,0
236855,DARK,DARK,0,M,N,N,0,Y,0
237694,DARK,DARK,0,M,N,N,0,Y,0
237739,LIGHT,LIGHT,0,M,Y,N,0,Y,0
221044,DARK,LIGHT,0,M,N,N,0,Y,0
222226,LIGHT,LIGHT,0,F,N,N,0,N,0
222550,LIGHT,LIGHT,0,M,N,N,0,Y,0
225616,DARK,LIGHT,0,F,N,N,0,N,0
234293,LIGHT,LIGHT,0,F,N,N,0,Y,0
234494,DARK,DARK,0,M,N,N,0,Y,0
234935,LIGHT,LIGHT,0,M,N,N,0,Y,0
235114,LIGHT,LIGHT,0,F,N,N,0,Y,0
235389,DARK,DARK,0,M,N,N,0,Y,0
235684,LIGHT,LIGHT,0,M,N,N,0,Y,0
236070,LIGHT,LIGHT,0,M,N,N,0,Y,0
236241,DARK,LIGHT,0,M,N,N,0,Y,0
237494,LIGHT,DARK,0,F,N,N,0,Y,0
238132,DARK,DARK,0,M,N,N,0,Y,0
238324,LIGHT,LIGHT,0,M,Y,N,0,Y,0
43720,DARK,DARK,0,F,N,N,0,N,0
45090,DARK,LIGHT,0,M,N,N,0,N,0
81662,LIGHT,LIGHT,0,F,N,N,0,N,0
99083,LIGHT,DARK,0,F,N,N,0,N,0
189507,DARK,DARK,0,M,Y,N,0,Y,0
198611,LIGHT,LIGHT,0,M,Y,N,0,Y,0
209376,DARK,LIGHT,0,F,Y,N,0,Y,0
217218,LIGHT,LIGHT,0,M,N,N,0,N,0
219298,LIGHT,LIGHT,0,M,Y,N,0,Y,0
219941,LIGHT,DARK,0,F,Y,N,0,Y,0
221840,LIGHT,LIGHT,0,M,Y,N,0,Y,0
222529,DARK,DARK,0,M,N,N,0,Y,0
224939,LIGHT,LIGHT,0,M,Y,N,0,Y,0
225250,DARK,LIGHT,0,M,N,N,0,N,0
226102,DARK,LIGHT,0,F,N,N,0,N,0
229896,DARK,DARK,0,M,N,N,0,Y,0
235385,DARK,LIGHT,0,F,Y,N,0,Y,0
236609,DARK,LIGHT,0,M,Y,N,0,Y,0
42036,DARK,DARK,0,M,N,N,0,N,0
213488,LIGHT,LIGHT,0,F,N,N,0,Y,0
220190,DARK,DARK,0,F,N,N,0,Y,0
223500,LIGHT,LIGHT,0,F,N,N,0,N,0
226532,DARK,DARK,0,F,N,N,0,Y,0
232212,DARK,LIGHT,0,M,N,N,0,N,0
235158,LIGHT,LIGHT,0,F,N,N,0,Y,0
235217,DARK,LIGHT,0,M,N,N,0,Y,0
235717,DARK,DARK,0,M,N,N,0,Y,0
236017,LIGHT,LIGHT,0,F,Y,N,0,Y,0
236086,DARK,DARK,0,F,N,N,0,Y,0
236278,LIGHT,LIGHT,0,M,N,N,0,Y,0
41833,DARK,LIGHT,0,M,N,N,0,N,0
89414,DARK,LIGHT,0,F,N,N,0,N,0
92015,DARK,LIGHT,0,F,N,N,0,N,0
122596,LIGHT,LIGHT,0,F,N,N,0,N,0
127834,DARK,DARK,0,F,Y,N,0,Y,0
207549,LIGHT,LIGHT,0,F,Y,N,0,Y,0
215391,DARK,DARK,0,M,Y,N,0,Y,0
219240,DARK,DARK,0,F,Y,N,0,Y,0
219792,LIGHT,LIGHT,0,M,N,N,0,Y,0
220350,DARK,DARK,0,F,N,N,0,Y,0
221959,DARK,LIGHT,0,F,N,N,0,Y,0
224585,LIGHT,DARK,0,F,N,N,0,N,0
226349,DARK,DARK,0,F,N,N,0,Y,0
226530,LIGHT,LIGHT,0,M,N,N,0,Y,0
229553,DARK,LIGHT,0,M,N,N,0,N,0
230682,DARK,DARK,0,F,Y,N,0,Y,0
232649,DARK,LIGHT,0,F,N,N,0,Y,0
233145,LIGHT,LIGHT,0,F,N,N,0,Y,0
235760,DARK,DARK,0,M,N,N,0,N,0
236650,DARK,DARK,0,M,Y,N,0,Y,0
237094,DARK,DARK,0,F,N,N,0,N,0
237285,LIGHT,LIGHT,0,M,N,N,0,Y,0
97841,DARK,DARK,0,F,N,N,0,Y,0
99891,DARK,DARK,0,F,N,N,0,N,0
192347,LIGHT,LIGHT,0,M,N,N,0,N,0
205020,DARK,DARK,0,F,Y,N,0,Y,0
220608,DARK,DARK,0,M,N,N,0,Y,0
223625,LIGHT,LIGHT,0,M,N,N,0,Y,0
228276,LIGHT,LIGHT,0,F,Y,N,0,Y,0
228563,DARK,LIGHT,0,M,Y,N,0,Y,0
234049,DARK,LIGHT,0,M,N,N,0,Y,0
234338,DARK,LIGHT,0,F,N,N,0,Y,0
234820,DARK,DARK,0,M,N,N,0,Y,0
234975,DARK,LIGHT,0,F,N,N,0,Y,0
235695,DARK,DARK,0,M,Y,N,0,Y,0
235862,DARK,DARK,0,M,N,N,0,Y,0
236157,LIGHT,LIGHT,0,M,Y,N,0,Y,0
237318,DARK,DARK,0,M,N,N,0,Y,0
92739,DARK,DARK,0,F,N,N,0,N,0
101172,DARK,DARK,0,F,N,N,0,Y,0
122709,LIGHT,LIGHT,0,M,N,N,0,N,0
16748,LIGHT,LIGHT,0,F,N,N,0,N,0
17746,DARK,DARK,0,M,N,N,0,N,0
207711,DARK,DARK,0,M,Y,N,0,N,0
216960,DARK,LIGHT,0,M,N,N,0,Y,0
219456,DARK,LIGHT,0,M,Y,N,0,Y,0
221206,DARK,DARK,0,M,Y,N,0,Y,0
227640,DARK,DARK,0,F,Y,N,0,N,0
232550,LIGHT,LIGHT,0,M,Y,N,0,Y,0
234195,LIGHT,LIGHT,0,F,Y,N,0,Y,0
234776,DARK,LIGHT,0,M,N,N,0,Y,0
235082,LIGHT,LIGHT,0,F,N,N,0,Y,0
236250,LIGHT,DARK,0,F,N,N,0,Y,0
97062,DARK,DARK,0,M,Y,N,0,Y,0
183835,DARK,DARK,0,M,N,N,0,Y,0
221849,DARK,LIGHT,0,F,Y,N,0,Y,0
224987,DARK,DARK,0,F,Y,N,0,Y,0
228201,DARK,LIGHT,0,M,Y,N,0,Y,0
229001,DARK,DARK,0,F,N,N,0,Y,0
229105,DARK,DARK,0,M,N,N,0,Y,0
229790,DARK,LIGHT,0,M,Y,N,0,Y,0
232499,DARK,DARK,0,M,N,N,0,Y,0
235408,DARK,DARK,0,F,Y,N,0,Y,0
235531,LIGHT,LIGHT,0,F,Y,N,0,Y,0
236147,LIGHT,LIGHT,0,F,Y,N,0,Y,0
236343,DARK,LIGHT,0,F,N,N,0,Y,0
236397,LIGHT,LIGHT,0,M,N,N,0,Y,0
237658,LIGHT,LIGHT,0,F,N,N,0,Y,0
45288,DARK,DARK,0,M,N,N,0,N,0
82712,LIGHT,LIGHT,0,M,N,N,0,N,0
95099,DARK,LIGHT,0,M,N,N,0,N,0
107249,DARK,DARK,0,F,N,N,0,N,0
150890,DARK,LIGHT,0,F,Y,N,0,Y,0
158737,LIGHT,DARK,0,M,N,N,0,N,0
176568,DARK,LIGHT,0,F,Y,N,0,Y,0
202461,LIGHT,LIGHT,0,M,Y,N,0,Y,0
207101,DARK,LIGHT,0,M,Y,N,0,Y,0
219099,LIGHT,LIGHT,0,F,N,N,0,Y,0
219114,DARK,LIGHT,0,F,N,N,0,Y,0
222622,DARK,DARK,0,F,N,N,0,Y,0
222752,DARK,DARK,0,M,N,N,0,N,0
224217,DARK,LIGHT,0,M,N,N,0,Y,0
224738,LIGHT,LIGHT,0,F,N,N,0,N,0
226597,DARK,DARK,0,F,N,N,0,Y,0
230726,DARK,DARK,0,F,Y,N,0,Y,0
236637,LIGHT,LIGHT,0,M,N,N,0,Y,0
236790,LIGHT,LIGHT,0,M,N,N,0,N,0
43623,DARK,DARK,0,M,N,N,0,N,0
45029,LIGHT,LIGHT,0,F,N,N,0,N,0
102848,DARK,DARK,0,F,Y,N,0,N,0
11834,LIGHT,LIGHT,0,M,N,N,0,N,0
12566,LIGHT,LIGHT,0,M,N,N,0,N,0
17433,DARK,DARK,0,F,N,N,0,N,0
198842,DARK,DARK,0,M,Y,N,0,Y,0
198970,DARK,DARK,0,M,Y,N,0,Y,0
214801,LIGHT,LIGHT,0,M,N,N,0,Y,0
218437,LIGHT,DARK,0,M,N,N,0,Y,0
219043,DARK,LIGHT,0,M,N,N,0,Y,0
221660,DARK,LIGHT,0,M,N,N,0,Y,0
221727,LIGHT,LIGHT,0,F,N,N,0,Y,0
222082,DARK,DARK,0,F,N,N,0,Y,0
226732,LIGHT,LIGHT,0,F,N,N,0,N,0
230524,DARK,LIGHT,0,M,N,N,0,Y,0
235608,LIGHT,LIGHT,0,F,N,N,0,Y,0
235714,LIGHT,LIGHT,0,M,N,N,0,Y,0
236434,DARK,LIGHT,0,F,Y,N,0,Y,0
45208,DARK,DARK,0,M,Y,N,0,N,0
101170,DARK,DARK,0,M,N,N,0,Y,0
115631,DARK,DARK,0,M,N,N,0,N,0
219109,LIGHT,LIGHT,0,F,N,N,0,Y,0
219951,DARK,DARK,0,M,N,N,0,Y,0
222087,DARK,LIGHT,0,M,N,N,0,Y,0
223630,DARK,DARK,0,M,Y,N,0,Y,0
224203,DARK,DARK,0,M,N,N,0,N,0
224725,DARK,LIGHT,0,F,N,N,0,N,0
224985,LIGHT,DARK,0,F,N,N,0,Y,0
231442,DARK,DARK,0,F,Y,N,0,Y,0
234047,DARK,DARK,0,M,N,N,0,Y,0
236015,DARK,LIGHT,0,F,Y,N,0,Y,0
43713,DARK,DARK,0,F,N,N,0,N,0
78495,DARK,LIGHT,0,M,Y,N,0,N,0
137391,LIGHT,DARK,0,M,Y,N,0,Y,0
184039,DARK,DARK,0,M,N,N,0,Y,0
221083,DARK,DARK,0,M,N,N,0,N,0
221895,DARK,LIGHT,0,F,Y,N,0,Y,0
223569,LIGHT,LIGHT,0,F,N,N,0,Y,0
224002,DARK,LIGHT,0,F,N,N,0,Y,0
224536,DARK,DARK,0,M,N,N,0,Y,0
227240,DARK,LIGHT,0,F,N,N,0,Y,0
233951,DARK,DARK,0,F,Y,N,0,Y,0
235631,LIGHT,LIGHT,0,F,N,N,0,Y,0
237998,LIGHT,LIGHT,0,F,N,N,0,Y,0
81841,DARK,LIGHT,0,M,N,N,0,N,0
114570,DARK,DARK,0,F,N,N,0,Y,0
12139,LIGHT,LIGHT,0,M,N,N,0,N,0
13177,LIGHT,LIGHT,0,M,N,N,0,N,0
165225,LIGHT,LIGHT,0,M,N,N,0,N,0
218597,LIGHT,LIGHT,0,M,N,N,0,Y,0
22315,LIGHT,LIGHT,0,M,Y,N,0,N,0
230713,DARK,DARK,0,F,N,N,0,Y,0
234803,DARK,DARK,0,F,N,N,0,Y,0
234810,LIGHT,DARK,0,F,Y,N,0,Y,0
235240,DARK,LIGHT,0,M,Y,N,0,Y,0
235351,DARK,LIGHT,0,F,Y,N,0,Y,0
236914,LIGHT,LIGHT,0,M,N,N,0,Y,0
237879,LIGHT,LIGHT,0,F,N,N,0,N,0
43650,LIGHT,LIGHT,0,M,Y,N,0,N,0
44388,DARK,DARK,0,F,N,N,0,N,0
105949,DARK,DARK,0,F,Y,N,0,N,0
107612,DARK,LIGHT,0,M,Y,N,0,N,0
214184,LIGHT,DARK,0,F,N,N,0,Y,0
219241,DARK,LIGHT,0,M,Y,N,0,Y,0
221317,LIGHT,LIGHT,0,F,Y,N,0,Y,0
226037,DARK,LIGHT,0,M,N,N,0,Y,0
233153,DARK,DARK,0,F,Y,N,0,Y,0
235215,LIGHT,LIGHT,0,F,N,N,0,Y,0
235391,DARK,LIGHT,0,M,Y,N,0,Y,0
44285,DARK,LIGHT,0,F,N,N,0,N,0
191826,LIGHT,DARK,0,M,Y,N,0,Y,0
202161,DARK,DARK,0,M,Y,N,0,Y,0
221123,DARK,DARK,0,F,N,N,0,N,0
223752,DARK,DARK,0,F,N,N,0,N,0
227302,DARK,LIGHT,0,M,Y,N,0,Y,0
233996,DARK,LIGHT,0,F,Y,N,0,Y,0
234054,DARK,LIGHT,0,M,N,N,0,Y,0
235151,DARK,DARK,0,M,N,N,0,Y,0
235618,DARK,DARK,0,F,N,N,0,Y,0
235766,DARK,DARK,0,F,Y,N,0,Y,0
235961,LIGHT,DARK,0,F,N,N,0,Y,0
236021,LIGHT,DARK,0,F,N,N,0,Y,0
236026,DARK,DARK,0,F,N,N,0,Y,0
236137,DARK,DARK,0,M,N,N,0,Y,0
236169,LIGHT,LIGHT,0,F,N,N,0,Y,0
236696,LIGHT,LIGHT,0,M,N,N,0,N,0
236839,LIGHT,DARK,0,F,N,N,0,Y,0
238022,DARK,DARK,0,M,N,N,0,Y,0
42113,LIGHT,LIGHT,0,F,N,N,0,N,0
42859,DARK,DARK,0,F,N,N,0,N,0
43702,DARK,LIGHT,0,F,Y,N,0,Y,0
82650,DARK,DARK,0,M,N,N,0,N,0
87772,DARK,LIGHT,0,M,N,N,0,N,0
99592,DARK,DARK,0,F,N,N,0,N,0
230383,LIGHT,LIGHT,0,M,N,N,0,Y,0
235190,DARK,LIGHT,0,M,N,N,0,Y,0
235253,LIGHT,LIGHT,0,F,N,N,0,Y,0
236144,DARK,DARK,0,F,Y,N,0,Y,0
236893,LIGHT,LIGHT,0,F,N,N,0,N,0
237409,LIGHT,LIGHT,0,F,N,N,0,Y,0
42017,LIGHT,LIGHT,0,M,N,N,0,N,0
44951,LIGHT,LIGHT,0,M,N,N,0,N,0
12088,DARK,DARK,0,M,N,N,0,N,0
123931,DARK,DARK,0,M,Y,N,0,Y,0
172446,DARK,DARK,0,M,N,N,0,N,0
182836,DARK,LIGHT,0,M,N,N,0,Y,0
192524,DARK,DARK,0,F,N,N,0,Y,0
215281,LIGHT,LIGHT,0,F,N,N,0,Y,0
222117,DARK,DARK,0,F,Y,N,0,Y,0
225830,DARK,DARK,0,M,Y,N,0,Y,0
227665,DARK,DARK,0,F,N,N,0,Y,0
229481,LIGHT,DARK,0,M,N,N,0,N,0
229890,DARK,DARK,0,M,N,N,0,N,0
229997,DARK,LIGHT,0,F,N,N,0,Y,0
230527,DARK,DARK,0,F,N,N,0,Y,0
232506,DARK,LIGHT,0,F,Y,N,0,Y,0
233674,DARK,LIGHT,0,M,N,N,0,Y,0
235111,LIGHT,LIGHT,0,M,N,N,0,Y,0
235326,LIGHT,LIGHT,0,M,N,N,0,Y,0
235589,DARK,DARK,0,F,N,N,0,Y,0
235745,DARK,DARK,0,F,Y,N,0,Y,0
236618,LIGHT,LIGHT,0,F,Y,N,0,Y,0
238403,LIGHT,LIGHT,0,M,N,N,0,Y,0
43865,DARK,DARK,0,F,N,N,0,N,0
105777,DARK,LIGHT,0,F,N,N,0,N,0
203385,LIGHT,LIGHT,0,M,N,N,0,Y,0
214164,DARK,LIGHT,0,M,N,N,0,Y,0
226673,LIGHT,LIGHT,0,F,N,N,0,Y,0
234267,LIGHT,LIGHT,0,M,N,N,0,Y,0
234809,LIGHT,LIGHT,0,F,N,N,0,Y,0
234897,LIGHT,LIGHT,0,M,N,N,0,Y,0
235750,LIGHT,DARK,0,F,Y,N,0,Y,0
236340,LIGHT,LIGHT,0,M,N,N,0,Y,0
236774,DARK,LIGHT,0,F,Y,N,0,Y,0
44739,DARK,DARK,0,F,N,N,0,N,0
89171,DARK,DARK,0,F,N,N,0,N,0
95500,LIGHT,LIGHT,0,M,N,N,0,N,0
149883,LIGHT,LIGHT,0,M,N,N,0,Y,0
157077,DARK,LIGHT,0,F,N,N,0,Y,0
221136,LIGHT,LIGHT,0,M,N,N,0,Y,0
221257,DARK,DARK,0,M,N,N,0,N,0
221596,LIGHT,LIGHT,0,M,N,N,0,Y,0
227714,LIGHT,LIGHT,0,M,Y,N,0,Y,0
229690,DARK,DARK,0,M,Y,N,0,Y,0
234399,LIGHT,DARK,0,F,N,N,0,Y,0
235194,LIGHT,LIGHT,0,M,N,N,0,Y,0
236711,LIGHT,LIGHT,0,F,Y,N,0,Y,0
236763,LIGHT,DARK,0,F,N,N,0,Y,0
236818,LIGHT,LIGHT,0,F,N,N,0,Y,0
90113,DARK,DARK,0,M,Y,N,0,N,0
96266,DARK,DARK,0,F,N,N,0,N,0
98553,DARK,DARK,0,M,N,N,0,N,0
102545,DARK,LIGHT,0,F,N,N,0,N,0
103085,LIGHT,LIGHT,0,F,N,N,0,N,0
182254,DARK,LIGHT,0,M,N,N,0,Y,0
189311,DARK,LIGHT,0,F,N,N,0,Y,0
20246,LIGHT,LIGHT,0,F,N,N,0,N,0
206815,LIGHT,DARK,0,M,N,N,0,Y,0
212795,DARK,DARK,0,F,Y,N,0,Y,0
220293,DARK,DARK,0,M,N,N,0,Y,0
221034,LIGHT,LIGHT,0,M,N,N,0,Y,0
227566,LIGHT,LIGHT,0,M,Y,N,0,Y,0
228404,DARK,LIGHT,0,F,N,N,0,Y,0
233240,LIGHT,LIGHT,0,M,N,N,0,Y,0
235425,LIGHT,LIGHT,0,M,N,N,0,Y,0
235634,DARK,LIGHT,0,M,Y,N,0,Y,0
236403,LIGHT,LIGHT,0,F,N,N,0,N,0
236634,DARK,LIGHT,0,F,N,N,0,Y,0
237024,LIGHT,LIGHT,0,M,N,N,0,Y,0
237664,DARK,LIGHT,0,F,Y,N,0,Y,0
43670,DARK,DARK,0,F,N,N,0,N,0
118322,DARK,DARK,0,M,N,N,0,N,0
12137,DARK,DARK,0,M,N,N,0,N,0
217797,LIGHT,LIGHT,0,M,Y,N,0,Y,0
220719,DARK,LIGHT,0,M,Y,N,0,Y,0
225481,DARK,DARK,0,M,Y,N,0,Y,0
228826,DARK,LIGHT,0,M,Y,N,0,Y,0
229176,LIGHT,LIGHT,0,F,N,N,0,N,0
230532,LIGHT,DARK,0,F,Y,N,0,Y,0
235058,DARK,DARK,0,F,Y,N,0,Y,0
236529,DARK,DARK,0,F,N,N,0,Y,0
236765,DARK,DARK,0,M,N,N,0,Y,0
237100,DARK,LIGHT,0,F,N,N,0,Y,0
237220,LIGHT,LIGHT,0,M,N,N,0,Y,0
237253,DARK,DARK,0,F,N,N,0,N,0
237360,LIGHT,LIGHT,0,M,N,N,0,Y,0
238078,DARK,LIGHT,0,F,Y,N,0,Y,0
44756,DARK,DARK,0,F,N,N,0,N,0
93971,DARK,DARK,0,F,N,N,0,N,0
