Dog_Number,Microchip_Flag,Microchip_Brand,Offence_Free_Flag,Active_Dog_Record
237849,Y,MICROCHIP,U,N
214963,Y,MICROCHIP,Y,N
234865,Y,MICROCHIP,Y,N
235643,N,,Y,N
227698,Y,MICROCHIP,Y,N
235658,Y,MICROCHIP,Y,N
233229,Y,MICROCHIP,Y,N
225625,Y,MICROCHIP,N,N
230762,Y,MICROCHIP,Y,N
230763,Y,MICROCHIP,Y,N
227422,Y,MICROCHIP,N,N
237825,Y,MICROCHIP,U,N
235268,Y,MICROCHIP,Y,N
237603,Y,MICROCHIP,U,N
236657,Y,MICROCHIP,Y,N
235663,Y,MICROCHIP,Y,N
235300,Y,MICROCHIP,N,N
233404,Y,MICROCHIP,Y,N
229033,Y,MICROCHIP,Y,N
229034,Y,MICROCHIP,Y,N
228999,Y,MICROCHIP,Y,N
231471,Y,MICROCHIP,N,N
224182,Y,MICROCHIP,Y,N
183981,Y,MICROCHIP,Y,N
227820,Y,MICROCHIP,Y,N
221839,Y,MICROCHIP,Y,N
235949,Y,MICROCHIP,Y,N
237307,Y,MICROCHIP,U,N
236907,Y,MICROCHIP,U,N
236455,Y,MICROCHIP,Y,N
237197,Y,MICROCHIP,U,N
235698,Y,MICROCHIP,Y,N
236977,Y,MICROCHIP,U,N
234113,Y,MICROCHIP,Y,N
236472,Y,MICROCHIP,N,N
234595,Y,MICROCHIP,Y,N
233499,Y,MICROCHIP,N,N
232595,Y,MICROCHIP,Y,N
231954,Y,MICROCHIP,N,N
231455,Y,MICROCHIP,Y,N
231046,Y,MICROCHIP,N,N
234568,Y,MICROCHIP,Y,N
229917,Y,MICROCHIP,N,N
232476,Y,MICROCHIP,N,N
228411,Y,MICROCHIP,Y,N
228412,Y,MICROCHIP,Y,N
235986,N,,Y,N
233827,Y,MICROCHIP,Y,N
219139,Y,MICROCHIP,Y,N
219138,Y,MICROCHIP,N,N
208442,Y,MICROCHIP,Y,N
207830,Y,MICROCHIP,Y,N
192766,Y,MICROCHIP,Y,N
151734,Y,MICROCHIP,N,N
127260,Y,MICROCHIP,Y,N
224837,Y,MICROCHIP,Y,N
237435,Y,MICROCHIP,U,N
237516,Y,MICROCHIP,U,N
237065,Y,MICROCHIP,U,N
236632,Y,MICROCHIP,Y,N
236625,Y,MICROCHIP,Y,N
237421,Y,MICROCHIP,U,N
237434,Y,MICROCHIP,U,N
237505,Y,MICROCHIP,U,N
235761,N,,Y,N
237518,Y,MICROCHIP,U,N
236814,N,,U,N
233004,Y,MICROCHIP,Y,N
232768,Y,MICROCHIP,Y,N
237291,Y,MICROCHIP,U,N
236549,Y,MICROCHIP,Y,N
237349,Y,MICROCHIP,U,N
228288,Y,MICROCHIP,N,N
234123,Y,MICROCHIP,N,N
236807,Y,MICROCHIP,U,N
234334,Y,MICROCHIP,N,N
229166,Y,MICROCHIP,Y,N
228680,Y,MICROCHIP,Y,N
228679,Y,MICROCHIP,Y,N
222603,Y,MICROCHIP,Y,N
218537,Y,MICROCHIP,Y,N
207081,Y,MICROCHIP,Y,N
147045,Y,MICROCHIP,Y,N
237479,Y,MICROCHIP,U,N
224672,Y,MICROCHIP,Y,N
137615,Y,MICROCHIP,Y,N
220874,Y,MICROCHIP,Y,N
237431,Y,MICROCHIP,U,N
237727,Y,MICROCHIP,U,N
233364,Y,MICROCHIP,Y,N
235827,Y,MICROCHIP,N,N
234378,Y,MICROCHIP,Y,N
236992,Y,MICROCHIP,U,N
237169,Y,MICROCHIP,U,N
236709,Y,MICROCHIP,U,N
224914,N,,U,N
234021,Y,MICROCHIP,Y,N
187063,N,,N,N
237663,N,,U,N
231732,Y,MICROCHIP,Y,N
227037,Y,MICROCHIP,Y,N
219521,Y,MICROCHIP,Y,N
206895,Y,MICROCHIP,Y,N
235640,Y,MICROCHIP,N,N
236253,Y,MICROCHIP,Y,N
234180,Y,MICROCHIP,N,N
234999,Y,MICROCHIP,N,N
235423,N,,Y,N
232048,Y,MICROCHIP,N,N
227906,Y,MICROCHIP,N,N
236043,Y,MICROCHIP,N,N
234967,Y,MICROCHIP,N,N
236489,N,,Y,N
237074,Y,MICROCHIP,U,N
235541,N,,Y,N
235530,Y,MICROCHIP,Y,N
237482,Y,MICROCHIP,U,N
234705,Y,MICROCHIP,Y,N
202024,Y,MICROCHIP,Y,N
229247,N,,Y,N
229924,N,,U,N
237679,N,,U,N
232823,Y,MICROCHIP,Y,N
233666,Y,MICROCHIP,Y,N
230254,Y,MICROCHIP,Y,N
237346,N,,U,N
237345,N,,U,N
231249,Y,MICROCHIP,N,N
234007,Y,MICROCHIP,Y,N
231546,Y,MICROCHIP,Y,N
230329,Y,MICROCHIP,Y,N
227148,Y,MICROCHIP,Y,N
232002,Y,MICROCHIP,Y,N
235710,Y,MICROCHIP,Y,N
228752,Y,MICROCHIP,Y,N
237554,Y,MICROCHIP,U,N
236417,Y,MICROCHIP,Y,N
230233,Y,MICROCHIP,N,N
234418,Y,MICROCHIP,Y,N
236123,Y,MICROCHIP,Y,N
235919,Y,MICROCHIP,Y,N
226941,Y,MICROCHIP,Y,N
232871,Y,MICROCHIP,Y,N
233860,Y,MICROCHIP,Y,N
226226,Y,MICROCHIP,Y,N
235312,Y,MICROCHIP,N,N
234731,Y,MICROCHIP,Y,N
231905,Y,MICROCHIP,Y,N
235929,Y,MICROCHIP,N,N
237537,Y,MICROCHIP,U,N
236621,N,,Y,N
233407,Y,MICROCHIP,Y,N
234582,Y,MICROCHIP,Y,N
230239,Y,MICROCHIP,Y,N
228376,Y,MICROCHIP,Y,N
233954,Y,MICROCHIP,N,N
236077,Y,MICROCHIP,N,N
235863,Y,MICROCHIP,Y,N
235522,Y,MICROCHIP,Y,N
235763,Y,MICROCHIP,Y,N
236013,Y,MICROCHIP,N,N
235905,N,,Y,N
234919,Y,MICROCHIP,Y,N
236035,Y,MICROCHIP,N,N
235315,Y,MICROCHIP,N,N
234601,Y,MICROCHIP,N,N
224060,Y,MICROCHIP,Y,N
234402,Y,MICROCHIP,Y,N
185862,Y,MICROCHIP,Y,N
236199,Y,MICROCHIP,N,N
234801,Y,MICROCHIP,Y,N
235362,N,,Y,N
234200,Y,MICROCHIP,Y,N
231844,Y,MICROCHIP,Y,N
224781,Y,MICROCHIP,Y,N
227797,Y,MICROCHIP,Y,N
219150,Y,MICROCHIP,Y,N
214484,Y,MICROCHIP,Y,N
220369,Y,MICROCHIP,Y,N
236963,Y,MICROCHIP,U,N
236452,Y,MICROCHIP,Y,N
235906,Y,MICROCHIP,Y,N
235379,N,,Y,N
236946,Y,MICROCHIP,U,N
234563,Y,MICROCHIP,N,N
208272,Y,MICROCHIP,Y,N
235841,Y,MICROCHIP,N,N
183214,Y,MICROCHIP,Y,N
227406,Y,MICROCHIP,Y,N
236962,Y,MICROCHIP,U,N
236058,N,,Y,N
234382,Y,MICROCHIP,Y,N
234374,Y,MICROCHIP,Y,N
233647,Y,MICROCHIP,Y,N
223111,Y,MICROCHIP,Y,N
135067,Y,MICROCHIP,Y,N
234614,Y,MICROCHIP,Y,N
234556,Y,MICROCHIP,Y,N
234555,Y,MICROCHIP,Y,N
232857,Y,MICROCHIP,Y,N
230105,Y,MICROCHIP,Y,N
235838,Y,MICROCHIP,N,N
219874,Y,MICROCHIP,Y,N
236822,Y,MICROCHIP,U,N
235500,N,,Y,N
233015,Y,MICROCHIP,N,N
231450,Y,MICROCHIP,Y,N
230100,Y,MICROCHIP,Y,N
226776,Y,MICROCHIP,Y,N
219622,Y,MICROCHIP,Y,N
234227,Y,MICROCHIP,Y,N
234411,Y,MICROCHIP,Y,N
213563,Y,MICROCHIP,N,N
230795,Y,MICROCHIP,Y,N
236377,Y,MICROCHIP,Y,N
235476,Y,MICROCHIP,N,N
237398,Y,MICROCHIP,U,N
232596,Y,MICROCHIP,Y,N
229593,Y,MICROCHIP,N,N
225933,Y,MICROCHIP,Y,N
205693,Y,MICROCHIP,Y,N
235992,N,,Y,N
235434,N,,Y,N
231744,Y,MICROCHIP,Y,N
234740,Y,MICROCHIP,Y,N
227398,Y,MICROCHIP,Y,N
230274,Y,MICROCHIP,Y,N
215678,Y,MICROCHIP,Y,N
235193,N,,Y,N
235979,N,,Y,N
235588,N,,Y,N
233777,Y,MICROCHIP,Y,N
234578,Y,MICROCHIP,Y,N
235367,Y,MICROCHIP,Y,N
233048,Y,MICROCHIP,N,N
235120,Y,MICROCHIP,Y,N
235146,Y,MICROCHIP,Y,N
227617,Y,MICROCHIP,Y,N
223722,Y,MICROCHIP,Y,N
232578,Y,MICROCHIP,Y,N
223286,Y,MICROCHIP,Y,N
220400,Y,MICROCHIP,Y,N
228534,Y,MICROCHIP,N,N
219169,Y,MICROCHIP,Y,N
232577,Y,MICROCHIP,Y,N
194105,Y,MICROCHIP,Y,N
228747,Y,MICROCHIP,Y,N
180837,Y,MICROCHIP,N,N
228745,Y,MICROCHIP,Y,N
233726,Y,MICROCHIP,Y,N
233134,Y,MICROCHIP,Y,N
233097,Y,MICROCHIP,N,N
234907,Y,MICROCHIP,Y,N
234383,Y,MICROCHIP,Y,N
234006,Y,MICROCHIP,N,N
230106,Y,MICROCHIP,Y,N
234973,Y,MICROCHIP,Y,N
226848,Y,MICROCHIP,Y,N
234187,Y,MICROCHIP,Y,N
224024,Y,MICROCHIP,Y,N
221128,Y,MICROCHIP,Y,N
221129,Y,MICROCHIP,Y,N
232152,Y,MICROCHIP,Y,N
234974,Y,MICROCHIP,Y,N
228602,Y,MICROCHIP,Y,N
236420,Y,MICROCHIP,Y,N
235526,Y,MICROCHIP,N,N
226412,Y,MICROCHIP,Y,N
220143,Y,MICROCHIP,Y,N
236680,Y,MICROCHIP,U,N
223633,Y,MICROCHIP,Y,N
235227,Y,MICROCHIP,N,N
236267,Y,MICROCHIP,Y,N
235674,N,,Y,N
235361,Y,MICROCHIP,Y,N
231858,Y,MICROCHIP,N,N
228489,Y,MICROCHIP,Y,N
229541,Y,MICROCHIP,Y,N
221314,Y,MICROCHIP,Y,N
224801,Y,MICROCHIP,N,N
236428,Y,MICROCHIP,N,N
235276,Y,MICROCHIP,N,N
233152,Y,MICROCHIP,Y,N
235436,Y,MICROCHIP,Y,N
229188,Y,MICROCHIP,Y,N
234225,Y,MICROCHIP,Y,N
155414,Y,MICROCHIP,N,N
232575,Y,MICROCHIP,Y,N
235659,N,,Y,N
235237,N,,N,N
234925,Y,MICROCHIP,N,N
235657,Y,MICROCHIP,Y,N
232825,Y,MICROCHIP,Y,N
235116,Y,MICROCHIP,Y,N
232196,Y,MICROCHIP,Y,N
226731,Y,MICROCHIP,Y,N
225254,Y,MICROCHIP,Y,N
233716,Y,MICROCHIP,Y,N
233918,Y,MICROCHIP,Y,N
232758,Y,MICROCHIP,Y,N
235787,Y,MICROCHIP,N,N
223137,Y,MICROCHIP,Y,N
233919,Y,MICROCHIP,Y,N
236470,N,,Y,N
235483,Y,MICROCHIP,N,N
235339,Y,MICROCHIP,Y,N
233192,Y,MICROCHIP,Y,N
212461,Y,MICROCHIP,Y,N
124635,Y,MICROCHIP,Y,N
233214,Y,MICROCHIP,Y,N
236390,Y,MICROCHIP,Y,N
235325,Y,MICROCHIP,N,N
233789,Y,MICROCHIP,Y,N
231267,Y,MICROCHIP,Y,N
230748,Y,MICROCHIP,Y,N
230749,Y,MICROCHIP,Y,N
228869,Y,MICROCHIP,Y,N
226910,Y,MICROCHIP,Y,N
236978,Y,MICROCHIP,U,N
231054,Y,MICROCHIP,N,N
235777,N,,Y,N
193804,Y,MICROCHIP,Y,N
233290,Y,MICROCHIP,Y,N
234589,Y,MICROCHIP,Y,N
231288,Y,MICROCHIP,Y,N
234258,Y,MICROCHIP,N,N
224124,Y,MICROCHIP,Y,N
199421,Y,MICROCHIP,Y,N
179627,Y,MICROCHIP,Y,N
169605,Y,MICROCHIP,Y,N
234909,Y,MICROCHIP,N,N
230783,Y,MICROCHIP,Y,N
232163,Y,MICROCHIP,Y,N
228595,Y,MICROCHIP,Y,N
224068,Y,MICROCHIP,Y,N
237289,Y,MICROCHIP,U,N
226578,Y,MICROCHIP,Y,N
230308,Y,MICROCHIP,Y,N
233463,Y,MICROCHIP,Y,N
231284,Y,MICROCHIP,Y,N
231303,Y,MICROCHIP,Y,N
227247,Y,MICROCHIP,Y,N
230124,Y,MICROCHIP,Y,N
236769,Y,MICROCHIP,U,N
236673,Y,MICROCHIP,Y,N
235785,N,,Y,N
232847,Y,MICROCHIP,Y,N
230316,Y,MICROCHIP,Y,N
230016,N,,Y,N
228819,Y,MICROCHIP,Y,N
227140,Y,MICROCHIP,Y,N
230351,Y,MICROCHIP,Y,N
227706,Y,MICROCHIP,Y,N
230825,Y,MICROCHIP,Y,N
210570,Y,MICROCHIP,Y,N
219008,Y,MICROCHIP,Y,N
222031,Y,MICROCHIP,Y,N
231073,Y,MICROCHIP,Y,N
233764,Y,MICROCHIP,N,N
232746,Y,MICROCHIP,Y,N
232244,Y,MICROCHIP,Y,N
223750,Y,MICROCHIP,N,N
233771,Y,MICROCHIP,Y,N
236685,N,,U,N
236684,N,,U,N
234579,Y,MICROCHIP,Y,N
233571,Y,MICROCHIP,Y,N
236356,Y,MICROCHIP,Y,N
227692,Y,MICROCHIP,Y,N
236635,N,,Y,N
236532,Y,MICROCHIP,Y,N
235359,Y,MICROCHIP,Y,N
236737,N,,U,N
233193,Y,MICROCHIP,Y,N
231837,Y,MICROCHIP,Y,N
206211,Y,MICROCHIP,Y,N
231836,Y,MICROCHIP,Y,N
219967,Y,MICROCHIP,Y,N
232144,Y,MICROCHIP,Y,N
237281,N,,U,N
230779,Y,MICROCHIP,Y,N
201863,Y,MICROCHIP,N,N
234102,Y,MICROCHIP,N,N
234784,Y,MICROCHIP,Y,N
234786,Y,MICROCHIP,Y,N
233438,Y,MICROCHIP,Y,N
236694,N,,U,N
236155,Y,MICROCHIP,Y,N
236624,Y,MICROCHIP,N,N
235918,Y,MICROCHIP,N,N
235707,N,,Y,N
234667,Y,MICROCHIP,Y,N
234983,Y,MICROCHIP,Y,N
233620,Y,MICROCHIP,Y,N
233313,Y,MICROCHIP,N,N
231992,Y,MICROCHIP,N,N
227924,Y,MICROCHIP,Y,N
225313,Y,MICROCHIP,Y,N
223913,Y,MICROCHIP,Y,N
223373,Y,MICROCHIP,Y,N
221459,Y,MICROCHIP,Y,N
218930,Y,MICROCHIP,Y,N
233487,Y,MICROCHIP,N,N
224147,Y,MICROCHIP,Y,N
226312,Y,MICROCHIP,Y,N
230808,Y,MICROCHIP,Y,N
229023,Y,MICROCHIP,Y,N
228423,Y,MICROCHIP,N,N
142141,Y,MICROCHIP,N,N
237204,Y,MICROCHIP,U,N
237186,Y,MICROCHIP,U,N
236696,N,,U,N
236391,Y,MICROCHIP,Y,N
233398,Y,MICROCHIP,Y,N
233190,Y,MICROCHIP,N,N
232802,Y,MICROCHIP,Y,N
232271,Y,MICROCHIP,Y,N
230435,Y,MICROCHIP,N,N
236078,Y,MICROCHIP,Y,N
233397,Y,MICROCHIP,Y,N
227832,Y,MICROCHIP,N,N
237042,Y,MICROCHIP,U,N
220827,Y,MICROCHIP,Y,N
211251,Y,MICROCHIP,Y,N
234032,Y,MICROCHIP,Y,N
234422,Y,MICROCHIP,N,N
232058,Y,MICROCHIP,Y,N
229266,Y,MICROCHIP,Y,N
228989,Y,MICROCHIP,Y,N
229422,Y,MICROCHIP,Y,N
229982,Y,MICROCHIP,Y,N
211795,Y,MICROCHIP,N,N
187245,Y,MICROCHIP,Y,N
200826,Y,MICROCHIP,Y,N
108617,Y,NONSTDCHIP,Y,N
234735,Y,MICROCHIP,N,N
234469,Y,MICROCHIP,Y,N
235294,Y,MICROCHIP,Y,N
234468,Y,MICROCHIP,Y,N
233037,Y,MICROCHIP,Y,N
236587,N,,Y,N
230949,Y,MICROCHIP,Y,N
234871,Y,MICROCHIP,Y,N
236588,N,,Y,N
224930,Y,MICROCHIP,Y,N
234033,Y,MICROCHIP,Y,N
218539,Y,MICROCHIP,Y,N
233981,Y,MICROCHIP,Y,N
232498,Y,MICROCHIP,Y,N
236167,N,,Y,N
235464,Y,MICROCHIP,Y,N
229042,Y,MICROCHIP,Y,N
220901,Y,MICROCHIP,Y,N
232060,Y,MICROCHIP,Y,N
236816,N,,U,N
236942,Y,MICROCHIP,U,N
236944,Y,MICROCHIP,U,N
236140,N,,Y,N
236698,Y,MICROCHIP,U,N
235332,N,,Y,N
234928,Y,MICROCHIP,Y,N
234924,Y,MICROCHIP,Y,N
235104,Y,MICROCHIP,Y,N
235232,N,,Y,N
230369,Y,MICROCHIP,Y,N
229953,Y,MICROCHIP,Y,N
233991,Y,MICROCHIP,Y,N
234938,Y,MICROCHIP,Y,N
224532,Y,MICROCHIP,Y,N
230531,Y,MICROCHIP,N,N
232272,Y,MICROCHIP,Y,N
218928,Y,MICROCHIP,Y,N
209192,Y,MICROCHIP,N,N
235053,Y,MICROCHIP,Y,N
172686,Y,MICROCHIP,Y,N
233993,Y,MICROCHIP,Y,N
227150,Y,MICROCHIP,N,N
225699,Y,MICROCHIP,Y,N
152753,Y,MICROCHIP,N,N
236889,Y,MICROCHIP,U,N
237170,Y,MICROCHIP,U,N
237103,Y,MICROCHIP,U,N
235017,Y,MICROCHIP,N,N
231965,Y,MICROCHIP,Y,N
232099,Y,MICROCHIP,N,N
228371,Y,MICROCHIP,Y,N
223705,Y,MICROCHIP,Y,N
196411,Y,MICROCHIP,Y,N
138069,Y,MICROCHIP,Y,N
203789,Y,MICROCHIP,Y,N
236053,Y,MICROCHIP,Y,N
236032,Y,MICROCHIP,N,N
235564,Y,MICROCHIP,U,N
236727,Y,MICROCHIP,U,N
235247,Y,MICROCHIP,Y,N
235820,N,,Y,N
235648,Y,MICROCHIP,Y,N
234223,Y,MICROCHIP,N,N
235602,Y,MICROCHIP,Y,N
233932,Y,MICROCHIP,Y,N
234965,Y,MICROCHIP,Y,N
234065,Y,MICROCHIP,Y,N
234438,Y,MICROCHIP,Y,N
